,strategy
2020-12-09,995423.1057631015
2020-12-10,990628.2883784558
2020-12-11,1002789.0161525839
2020-12-14,993797.9226949651
2020-12-15,983986.0225649724
2020-12-16,980943.2384669855
2020-12-17,987708.848088075
2020-12-18,991399.3916127573
2020-12-21,984744.2479742506
2020-12-22,977507.0124260344
2020-12-23,966557.2562789257
2020-12-24,969464.0278784477
2020-12-25,969723.7947367693
2020-12-28,968269.2090446642
2020-12-29,968269.2090446642
2020-12-30,968269.2090446642
2020-12-31,968269.2090446642
2021-01-04,972190.3712459662
2021-01-05,967232.1364044725
2021-01-06,988389.9758900334
2021-01-07,983706.070094944
2021-01-08,981933.997497958
2021-01-11,976617.2541666824
2021-01-12,949718.6922887205
2021-01-13,965947.6646152537
2021-01-14,959642.417843628
2021-01-15,966019.2205167852
2021-01-18,955774.4288306761
2021-01-19,960515.9591969197
2021-01-20,965987.505265572
2021-01-21,958569.0885559359
2021-01-22,949209.2484062681
2021-01-25,939518.835679094
2021-01-26,937617.3306429955
2021-01-27,939022.8836691021
2021-01-28,938899.9961818312
2021-01-29,937961.2097919792
2021-02-01,937262.3146447669
2021-02-02,938721.1654114587
2021-02-03,938165.6923255629
2021-02-04,936455.7298337349
2021-02-05,935748.6381172884
2021-02-08,936418.9681874883
2021-02-09,964648.2460513607
2021-02-10,966552.4065077315
2021-02-18,1049772.2286591302
2021-02-19,1012286.5357238096
2021-02-22,1077651.8701608991
2021-02-23,1104016.8727196436
2021-02-24,1097532.1514987021
2021-02-25,1094031.0893790533
2021-02-26,1057263.3341687473
2021-03-01,1057388.578116431
2021-03-02,1049227.5552461352
2021-03-03,1041682.342107873
2021-03-04,1066854.5046866557
2021-03-05,1094488.1016613378
2021-03-08,1116337.0607300417
2021-03-09,1110830.213499865
2021-03-10,1101300.8901125113
2021-03-11,1085634.4727558615
2021-03-12,1102894.3557568782
2021-03-15,1106014.3668848297
2021-03-16,1097074.8353059024
2021-03-17,1099079.8657674072
2021-03-18,1091410.2937504356
2021-03-19,1069355.373647598
2021-03-22,1066943.036137333
2021-03-23,1065934.188557798
2021-03-24,1055011.0082188402
2021-03-25,1059619.2599923173
2021-03-26,1058469.4673193146
2021-03-29,1068184.826895879
2021-03-30,1075177.4497891383
2021-03-31,1073575.8388814002
2021-04-01,1063775.576722458
2021-04-02,1063239.0018481913
2021-04-06,1059107.7269616264
2021-04-07,1061310.1062037451
2021-04-08,1062575.451629786
2021-04-09,1061757.720805038
2021-04-12,1059101.1985769032
2021-04-13,1055460.0428752028
2021-04-14,1048505.2246859918
2021-04-15,1053477.3827371444
2021-04-16,1059243.039130312
2021-04-19,1057894.8568819652
2021-04-20,1047385.4532294953
2021-04-21,1030790.022563372
2021-04-22,1019772.8576313527
2021-04-23,1007606.1187197253
2021-04-26,1004249.3981136931
2021-04-27,1001439.7823486984
2021-04-28,1002940.0575806816
2021-04-29,1006412.9821686094
2021-04-30,1006652.3436032946
2021-05-06,1035415.0521759262
2021-05-07,1040946.9679035392
2021-05-10,1091513.6351997983
2021-05-11,1080677.7080373608
2021-05-12,1105178.054566064
2021-05-13,1112658.4245846216
2021-05-14,1083539.0097427622
2021-05-17,1083887.035987017
2021-05-18,1094033.1157983835
2021-05-19,1088376.3721127775
2021-05-20,1080634.1954677429
2021-05-21,1081153.5710152427
2021-05-24,1082395.5212224496
2021-05-25,1084630.7231688644
2021-05-26,1082648.0311634084
2021-05-27,1084773.259418621
2021-05-28,1085665.9472534938
2021-05-31,1072048.7711051833
2021-06-01,1090733.0125655304
2021-06-02,1101913.5816623734
2021-06-03,1105866.5292273825
2021-06-04,1091880.409428257
2021-06-07,1093268.5227267614
2021-06-08,1079562.3374278545
2021-06-09,1126112.5371097978
2021-06-10,1118745.64383538
2021-06-11,1174495.7528880204
2021-06-15,1183291.3713907865
2021-06-16,1201596.5203043127
2021-06-17,1172607.1896496066
2021-06-18,1145097.4144484783
2021-06-21,1143246.3796602455
2021-06-22,1156156.821375367
2021-06-23,1150485.05417381
2021-06-24,1148975.5385363074
2021-06-25,1151463.3621880994
2021-06-28,1140423.1383869753
2021-06-29,1112439.2282174015
2021-06-30,1108472.3086280576
2021-07-01,1102772.655052639
2021-07-02,1133499.454712305
2021-07-05,1125271.8075036402
2021-07-06,1126531.5348088625
2021-07-07,1121244.9428124032
2021-07-08,1117606.5591912835
2021-07-09,1114631.0089650068
2021-07-12,1116264.6532376183
2021-07-13,1114996.6916767575
2021-07-14,1115943.6841027085
2021-07-15,1108836.1988430782
2021-07-16,1107031.3943367759
2021-07-19,1102351.713659804
2021-07-20,1097107.397594491
2021-07-21,1098677.6892881724
2021-07-22,1106328.756453345
2021-07-23,1102862.6821995713
2021-07-26,1097785.2405326357
2021-07-27,1099453.8969290385
2021-07-28,1097087.7523043358
2021-07-29,1094259.2958523363
2021-07-30,1096056.5604737492
2021-08-02,1090324.220871764
2021-08-03,1090050.866482398
2021-08-04,1085667.6421087198
2021-08-05,1083640.5738229866
2021-08-06,1076869.2655953008
2021-08-09,1075644.007772978
2021-08-10,1078614.738039292
2021-08-11,1080645.3836481227
2021-08-12,1080923.7155659175
2021-08-13,1079597.6222194599
2021-08-16,1081680.7115951483
2021-08-17,1081590.1981058794
2021-08-18,1077911.5089888084
2021-08-19,1075331.0429374364
2021-08-20,1075922.3824666843
2021-08-23,1084242.4294872046
2021-08-24,1085781.0579289896
2021-08-25,1089143.705194928
2021-08-26,1092197.9237745497
2021-08-27,1092397.4446893858
2021-08-30,1139524.073196755
2021-08-31,1169022.9018251076
2021-09-01,1196429.1766311373
2021-09-02,1190059.6573820126
2021-09-03,1217715.4080588305
2021-09-06,1230927.3654900722
2021-09-07,1248416.863741272
2021-09-08,1252911.0435809784
2021-09-09,1281074.3788153047
2021-09-10,1279733.6355498345
2021-09-13,1277814.0350965098
2021-09-14,1277814.0350965098
2021-09-15,1277814.0350965098
2021-09-16,1277814.0350965098
2021-09-17,1277814.0350965098
2021-09-22,1287856.3416241412
2021-09-23,1301260.338803267
2021-09-24,1320984.9099136495
2021-09-27,1300071.0851433075
2021-09-28,1327171.8581714646
2021-09-29,1285444.6689102089
2021-09-30,1231286.2314182539
2021-10-08,1267697.7013506114
2021-10-11,1282208.9341993583
2021-10-12,1293680.6017467817
2021-10-13,1268800.0172591426
2021-10-14,1245136.770840408
2021-10-15,1260779.208916208
2021-10-18,1284246.1969469509
2021-10-19,1284979.3739932955
2021-10-20,1275292.543037767
2021-10-21,1278388.8567235488
2021-10-22,1260370.2640939679
2021-10-25,1272587.3124001746
2021-10-26,1263885.065784756
2021-10-27,1251042.1580706835
2021-10-28,1228892.1815854302
2021-10-29,1211371.320372864
2021-11-01,1213068.447277785
2021-11-02,1213809.5603111482
2021-11-03,1204838.008798274
2021-11-04,1200136.5098119113
2021-11-05,1196927.1778508588
2021-11-08,1196029.4824674707
2021-11-09,1196029.4824674707
2021-11-10,1196029.4824674707
2021-11-11,1196029.4824674707
2021-11-12,1196029.4824674707
2021-11-15,1194262.3066602051
2021-11-16,1193886.0060022145
2021-11-17,1190421.5379805788
2021-11-18,1186152.1067126435
2021-11-19,1197172.5015237709
2021-11-22,1193263.0560389138
2021-11-23,1194364.326487987
2021-11-24,1200500.9657109773
2021-11-25,1195975.654815648
2021-11-26,1192490.611201668
2021-11-29,1191596.2432432666
2021-11-30,1191596.2432432666
2021-12-01,1191596.2432432666
2021-12-02,1191596.2432432666
2021-12-03,1191596.2432432666
2021-12-06,1191400.703525953
2021-12-07,1190873.0001730055
2021-12-08,1195652.817889017
2021-12-09,1194712.3484209168
2021-12-10,1192226.8889445823
2021-12-13,1184626.7963185231
2021-12-14,1178025.9681651965
2021-12-15,1175532.0187626611
2021-12-16,1183656.7503983122
2021-12-17,1188800.7642232683
2021-12-20,1181152.1204042507
2021-12-21,1181693.9059488964
2021-12-22,1186901.1159057016
2021-12-23,1185956.7663861872
2021-12-24,1189235.571488879
2021-12-27,1194291.4410901277
2021-12-28,1216492.2095392263
2021-12-29,1215187.723927478
2021-12-30,1208139.5900515656
2021-12-31,1202868.6057486592
2022-01-04,1202930.4740826206
2022-01-05,1211561.964736725
2022-01-06,1217495.939184024
2022-01-07,1238282.7738340618
2022-01-10,1225663.2480714873
2022-01-11,1220938.7126572235
2022-01-12,1231570.8440574105
2022-01-13,1239129.0510664314
2022-01-14,1225039.011467031
2022-01-17,1217318.7914115542
2022-01-18,1240919.7012607276
2022-01-19,1251206.7809586024
2022-01-20,1219083.663527568
2022-01-21,1190390.728496416
2022-01-24,1191503.1124107318
2022-01-25,1188134.876350847
2022-01-26,1185921.0906503329
2022-01-27,1188300.5788819017
2022-01-28,1183685.7409972195
2022-02-07,1250160.5692806595
2022-02-08,1283706.5638388412
2022-02-09,1288064.0633580198
2022-02-10,1295410.2520688006
2022-02-11,1323651.4084957475
2022-02-14,1345430.479362097
2022-02-15,1331238.8882247605
2022-02-16,1301182.2910857648
2022-02-17,1309757.516878668
2022-02-18,1297558.9712882214
2022-02-21,1295612.6328312892
2022-02-22,1295612.6328312892
2022-02-23,1295612.6328312892
2022-02-24,1295612.6328312892
2022-02-25,1295612.6328312892
2022-02-28,1302123.605777048
2022-03-01,1303269.299731542
2022-03-02,1320684.0696895954
2022-03-03,1332555.270189059
2022-03-04,1333055.520548011
2022-03-07,1360635.5860628102
2022-03-08,1334164.9034713232
2022-03-09,1314778.1170827786
2022-03-10,1243737.685727644
2022-03-11,1218184.1235584163
2022-03-14,1184242.2851467177
2022-03-15,1121839.0027817227
2022-03-16,1091416.7039292792
2022-03-17,1128180.5432763367
2022-03-18,1165425.397526434
2022-03-21,1161929.1213338545
2022-03-22,1161929.1213338545
2022-03-23,1161929.1213338545
2022-03-24,1161929.1213338545
2022-03-25,1161929.1213338545
2022-03-28,1171566.2893447373
2022-03-29,1161196.0813405614
2022-03-30,1146384.149386422
2022-03-31,1139544.7279695012
2022-04-01,1125768.5743676454
2022-04-06,1131606.3233289663
2022-04-07,1129815.767843682
2022-04-08,1126401.657643941
2022-04-11,1126714.2718725877
2022-04-12,1124276.5058436492
2022-04-13,1135089.4906570958
2022-04-14,1135051.8786967904
2022-04-15,1136636.2489357744
2022-04-18,1117863.4476929978
2022-04-19,1131205.7036980877
2022-04-20,1125392.0426782297
2022-04-21,1115608.521734796
2022-04-22,1112924.6697090562
2022-04-25,1112568.7488408608
2022-04-26,1085228.7658364852
2022-04-27,1089054.2345249783
2022-04-28,1094307.3582963508
2022-04-29,1112045.8159381403
2022-05-05,1122373.020294194
2022-05-06,1120617.4325246222
2022-05-09,1126674.804876297
2022-05-10,1110783.3917536566
2022-05-11,1114247.4001809305
2022-05-12,1121916.1721579977
2022-05-13,1117857.44928862
2022-05-16,1116180.663114687
2022-05-17,1116180.663114687
2022-05-18,1116180.663114687
2022-05-19,1116180.663114687
2022-05-20,1116180.663114687
2022-05-23,1129865.3087414845
2022-05-24,1130842.9376532282
2022-05-25,1150798.3547971973
2022-05-26,1184184.7362994547
2022-05-27,1268920.7967040525
2022-05-30,1303643.266501865
2022-05-31,1312502.1193386696
2022-06-01,1303401.1047567402
2022-06-02,1255123.9308630512
2022-06-06,1276249.4428661573
2022-06-07,1289600.1298930198
2022-06-08,1305567.6730797358
2022-06-09,1379698.9496973406
2022-06-10,1403853.9580572457
2022-06-13,1399800.3524398543
2022-06-14,1411856.598040385
2022-06-15,1416388.3684196314
2022-06-16,1398786.8761612286
2022-06-17,1386929.9757693738
2022-06-20,1385889.7782875467
2022-06-21,1385889.7782875467
2022-06-22,1385889.7782875467
2022-06-23,1385889.7782875467
2022-06-24,1385889.7782875467
2022-06-27,1392205.507350576
2022-06-28,1401467.326407407
2022-06-29,1403394.7833537122
2022-06-30,1390371.5839367092
2022-07-01,1384537.4150386592
2022-07-04,1397790.0469897503
2022-07-05,1406987.3296469948
2022-07-06,1366732.6918060484
2022-07-07,1353987.8232381071
2022-07-08,1368395.979195559
2022-07-11,1366343.3852267656
2022-07-12,1366343.3852267656
2022-07-13,1366343.3852267656
2022-07-14,1366343.3852267656
2022-07-15,1366343.3852267656
2022-07-18,1366343.3852267656
2022-07-19,1366343.3852267656
2022-07-20,1366343.3852267656
2022-07-21,1366343.3852267656
2022-07-22,1366343.3852267656
2022-07-25,1349204.8418872429
2022-07-26,1368207.277864056
2022-07-27,1378778.325950807
2022-07-28,1394273.2824965839
2022-07-29,1399865.5412862122
2022-08-01,1388962.8985871961
2022-08-02,1360138.290967461
2022-08-03,1359010.0187399632
2022-08-04,1323981.8511011049
2022-08-05,1309583.503617565
2022-08-08,1305654.7531067121
2022-08-09,1305654.7531067121
2022-08-10,1305654.7531067121
2022-08-11,1305654.7531067121
2022-08-12,1305654.7531067121
2022-08-15,1310970.6645299236
2022-08-16,1294366.2250603258
2022-08-17,1291546.22282977
2022-08-18,1291236.612229522
2022-08-19,1296087.0394614465
2022-08-22,1288030.1274276406
2022-08-23,1325028.3987827103
2022-08-24,1335499.6626785006
2022-08-25,1365898.4330585927
2022-08-26,1369436.838039392
2022-08-29,1375301.1832432542
2022-08-30,1389455.6343243741
2022-08-31,1307693.5213840473
2022-09-01,1297318.1861463934
2022-09-02,1303819.0499043216
2022-09-05,1317109.6922037941
2022-09-06,1323146.2348154576
2022-09-07,1319843.3016256727
2022-09-08,1314271.5051328235
2022-09-09,1315125.7158470864
2022-09-13,1318119.9357001216
2022-09-14,1325801.8426475252
2022-09-15,1328793.6089025724
2022-09-16,1316525.3135878304
2022-09-19,1315537.9196026395
2022-09-20,1315537.9196026395
2022-09-21,1315537.9196026395
2022-09-22,1315537.9196026395
2022-09-23,1315537.9196026395
2022-09-26,1295959.005113881
2022-09-27,1283263.9161560084
2022-09-28,1283913.3628767314
2022-09-29,1284790.0475127702
2022-09-30,1281956.6419220932
2022-10-10,1361708.0157854927
2022-10-11,1355778.2651797284
2022-10-12,1331901.2957226085
2022-10-13,1354582.77368141
2022-10-14,1354797.9031367474
2022-10-17,1350733.5094273372
2022-10-18,1350733.5094273372
2022-10-19,1350733.5094273372
2022-10-20,1350733.5094273372
2022-10-21,1350733.5094273372
2022-10-24,1370347.2057816512
2022-10-25,1353382.689352161
2022-10-26,1334102.3332447438
2022-10-27,1328401.2067274598
2022-10-28,1320473.347234504
2022-10-31,1298097.4993215746
2022-11-01,1288153.5907528847
2022-11-02,1298295.175644886
2022-11-03,1305353.9557558033
2022-11-04,1313589.3678292013
2022-11-07,1383126.9252536208
2022-11-08,1376162.8663309887
2022-11-09,1357083.9929299296
2022-11-10,1324430.337872661
2022-11-11,1348555.7470163773
2022-11-14,1344755.888628872
2022-11-15,1337417.587632661
2022-11-16,1342992.6181705336
2022-11-17,1338430.4650751106
2022-11-18,1334617.7737189203
2022-11-21,1329075.817350408
2022-11-22,1338257.8251535757
2022-11-23,1343245.7655292503
2022-11-24,1340620.7832249359
2022-11-25,1344043.2578219962
2022-11-28,1328626.5670931465
2022-11-29,1339697.8365272593
2022-11-30,1364813.549173714
2022-12-01,1375123.9735737192
2022-12-02,1380885.957589083
2022-12-05,1386626.920548723
2022-12-06,1374692.0989424197
2022-12-07,1362035.965163009
2022-12-08,1357036.433905397
2022-12-09,1348324.3542956393
2022-12-12,1346020.1550582151
2022-12-13,1344743.9501559432
2022-12-14,1344030.0463001227
2022-12-15,1344098.7932445644
2022-12-16,1340587.4408629173
2022-12-19,1334535.6500672803
2022-12-20,1329628.0237164355
2022-12-21,1328696.652864159
2022-12-22,1328983.7862701283
2022-12-23,1321693.9457891372
2022-12-26,1344625.0334384767
2022-12-27,1357292.2581619946
2022-12-28,1359241.5927128664
2022-12-29,1342247.0787254819
2022-12-30,1336957.4447657466
2023-01-03,1352427.325157573
2023-01-04,1345139.9240533777
2023-01-05,1335714.6220970433
2023-01-06,1337881.7942472182
2023-01-09,1336430.2464850643
2023-01-10,1336531.0036458294
2023-01-11,1337161.9975638106
2023-01-12,1342176.365646368
2023-01-13,1344554.4796164697
2023-01-16,1346011.1256107185
2023-01-17,1343755.0723729017
