code,jq_code,industry,sw_code,name,pe_ttm,pb,market_cap,turnover_ratio,roe,revenue_growth,gross_margin,net_margin,eps,cashflow_quality,risk_flag,risk_details,pe_inverse,gross_margin_change,roe_rank,revenue_growth_rank,cashflow_quality_rank,pe_inverse_rank,gross_margin_change_rank,fundamental_score,industry_trend_score,company_quality_score,research_score_raw,research_score,vc_heat,report_sentiment,intel_score_raw,intelligence_score,supply_chain_adj,composite_score,composite_rank
002493,002493.XSHE,oil,801963,荣盛石化,148.43200000000002,2.5011,1092.845,0.6741,0.66,-5.67,12.19,1.21,0.0287,16.7066895098133,False,,0.006737091732241025,12.19,0.5333333333333333,0.5111111111111111,0.8888888888888888,0.16129032258064516,0.4666666666666667,0.544468339307049,0.6,0.7,0.6599999999999999,0.7999999999999998,0.3,0.68,0.4425,0.0,1.0,0.5283512544802867,11.0
002986,002986.XSHE,oil,801963,宇新股份,-222.0335,1.1288,43.2972,1.2093,-2.18,-3.25,2.58,-4.88,-0.2238,0.9360984800457357,False,,,2.58,0.13333333333333333,0.5777777777777777,0.35555555555555557,,0.13333333333333333,0.3451851851851852,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.3188888888888889,38.0
300055,300055.XSHE,oil,801963,万邦达,137.1383,1.4722,76.0605,10.6751,0.05,-5.4,11.4,1.57,0.003,-2.0697395184286327,False,,0.007291908970725174,11.4,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.1935483870967742,0.4444444444444444,0.33691756272401435,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.3126881720430108,39.0
300135,300135.XSHE,oil,801963,宝利国际,772.8937,4.2506,40.1818,2.9427,-0.34,2.61,2.57,-0.67,-0.0035,6.332121086187521,False,,0.0012938389845848143,2.57,0.26666666666666666,0.6888888888888889,0.7111111111111111,0.06451612903225806,0.1,0.4300836320191159,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.382562724014337,31.0
300839,300839.XSHE,oil,801963,博汇股份,-18.285999999999998,5.1105,38.4927,0.9006,-0.97,354.05,4.4,-0.76,-0.018000000000000002,20.3152119468707,False,,,4.4,0.2222222222222222,1.0,0.9333333333333333,,0.2,0.6074074074074074,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.5155555555555555,13.0
600028,600028.XSHG,oil,801963,中国石化,19.0254,0.8254,6858.6529,0.1414,1.03,-10.88,16.33,1.49,0.0702,5.133772558006302,False,,0.052561312771347776,16.33,0.6444444444444445,0.4222222222222222,0.6444444444444445,0.7741935483870968,0.6,0.5995221027479093,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.509641577060932,14.0
600256,600256.XSHG,oil,801963,广汇能源,17.6887,1.4757,351.5602,2.1137,0.67,-25.81,16.35,1.8,0.0248,12.23049956406632,False,,0.05653326700096672,16.35,0.5555555555555556,0.1111111111111111,0.8666666666666667,0.8709677419354839,0.6222222222222222,0.5457586618876941,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.4693189964157706,20.0
600346,600346.XSHG,oil,801963,恒力石化,20.4253,2.2002,1421.8982,0.8294,3.09,-17.98,16.41,3.69,0.2802,0.33314690267163255,False,,0.04895888922072136,16.41,0.8888888888888888,0.24444444444444444,0.2222222222222222,0.7096774193548387,0.6444444444444445,0.5435125448028674,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.46763440860215055,21.0
600506,600506.XSHG,oil,801963,统一股份,96.1673,10.8148,51.8835,33.8485,3.32,4.22,20.57,3.58,0.0815,5.771996276105113,False,,0.010398545035578622,20.57,0.9333333333333333,0.7333333333333333,0.6888888888888889,0.3225806451612903,0.8,0.74078853046595,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.6155913978494625,5.0
600688,600688.XSHG,oil,801963,上海石化,-198.7684,1.2251,297.3018,0.6305,0.13,-13.8,17.07,0.16,0.0029,59.38348064039254,False,,,17.07,0.4,0.28888888888888886,1.0,,0.6888888888888889,0.522962962962963,0.6,0.5,0.54,0.4000000000000002,0.3,0.68,0.4425,0.0,1.0,0.4522222222222223,24.0
