code,jq_code,industry,sw_code,name,pe_ttm,pb,market_cap,turnover_ratio,roe,revenue_growth,gross_margin,net_margin,eps,cashflow_quality,risk_flag,risk_details,pe_inverse,gross_margin_change,roe_rank,revenue_growth_rank,cashflow_quality_rank,pe_inverse_rank,gross_margin_change_rank,fundamental_score,industry_trend_score,company_quality_score,research_score_raw,research_score,vc_heat,report_sentiment,intel_score_raw,intelligence_score,supply_chain_adj,composite_score,composite_rank,weight
603156,603156.XSHG,dairy,801127,养元饮品,21.7655,3.9034,350.8613,0.7378,4.16,11.88,42.72,26.06,0.2977,-1.4440098138890365,False,,0.045944269600974016,42.72,0.8846153846153846,0.8846153846153846,0.23076923076923078,0.8636363636363636,0.8846153846153846,0.7510489510489511,0.6,0.5,0.54,0.4000000000000002,0.4,0.72,0.52,0.2755555555555556,1.0,0.6453311577311578,3.0,0.043587272241551435
300871,300871.XSHE,pet,801018,回盛生物,20.7208,2.117,44.6346,3.2702,3.39,22.76,32.77,16.22,0.3495,0.8128451518042858,False,,0.04826068491564032,32.77,1.0,0.8,0.4,0.875,0.4,0.77,0.8,0.5,0.6200000000000001,0.6666666666666671,0.4,0.68,0.505,0.2222222222222222,1.0,0.6952777777777779,1.0,0.04696079124715988
688526,688526.XSHG,pet,801018,科前生物,16.5438,1.8223,76.0255,0.8643,2.87,-5.44,66.33,46.82,0.2529,1.20507743390674,False,,0.060445605000060444,66.33,0.9,0.2,0.6,1.0,1.0,0.6733333333333333,0.8,0.5,0.6200000000000001,0.6666666666666671,0.4,0.68,0.505,0.2222222222222222,1.0,0.6227777777777779,2.0,0.04206396083744804
300119,300119.XSHE,pet,801018,瑞普生物,23.2791,2.0636,96.4366,1.7561,2.29,29.17,41.86,14.19,0.2276,0.593850068300857,False,,0.042956987168747934,41.86,0.7,0.9,0.3,0.75,0.5,0.6666666666666666,0.8,0.5,0.6200000000000001,0.6666666666666671,0.4,0.68,0.505,0.2222222222222222,1.0,0.6177777777777779,3.0,0.04172624839539895
002141,002141.XSHE,pet,801018,贤丰控股,-55.1317,4.7934,39.8713,1.6629,0.25,1768.94,6.37,0.37,0.002,53.04426300371621,False,,,6.37,0.3,1.0,1.0,,0.1,0.64,0.8,0.5,0.6200000000000001,0.6666666666666671,0.4,0.68,0.505,0.2222222222222222,1.0,0.5977777777777779,4.0,0.040375398627202574
600195,600195.XSHG,pet,801018,中牧股份,37.6672,1.4128,80.7728,1.5971,2.54,-2.9,16.85,8.55,0.1406,1.945673350552491,False,,0.026548296661286212,16.85,0.8,0.5,0.8,0.375,0.2,0.6233333333333334,0.8,0.5,0.6200000000000001,0.6666666666666671,0.4,0.68,0.505,0.2222222222222222,1.0,0.5852777777777779,5.0,0.03953111752207985
300619,300619.XSHE,energy_storage,801737,金银河,-126.9956,4.7561,75.0287,8.2793,3.48,49.57,22.97,7.23,0.3102,5.718435044240987,False,,,22.97,0.9010989010989011,0.8444444444444444,0.9120879120879121,,0.7802197802197802,0.8266503866503867,0.8,0.5,0.6200000000000001,0.6666666666666671,0.75,0.68,0.72375,1.0,1.0,0.7999877899877901,1.0,0.05403316603324657
688772,688772.XSHG,energy_storage,801737,珠海冠宇,52.1878,4.0195,286.6398,1.7714,3.67,33.22,25.13,5.75,0.2385,3.6367446972934245,False,,0.019161566496384213,25.13,0.9340659340659341,0.6777777777777778,0.8131868131868132,0.5849056603773585,0.8571428571428571,0.7898636932599197,0.8,0.5,0.6200000000000001,0.6666666666666671,0.75,0.68,0.72375,1.0,1.0,0.7723977699449398,2.0,0.0521696674242757
300438,300438.XSHE,energy_storage,801737,鹏辉能源,-129.7874,4.9424,257.5105,12.0491,3.97,74.96,18.07,6.38,0.4029,0.6704864198113373,False,,,18.07,0.945054945054945,0.9666666666666667,0.43956043956043955,,0.6593406593406593,0.7713308913308913,0.8,0.5,0.6200000000000001,0.6666666666666671,0.75,0.68,0.72375,1.0,1.0,0.7584981684981685,3.0,0.05123085375465605
300014,300014.XSHE,energy_storage,801737,亿纬锂能,46.3282,4.3348,1715.3570000000002,4.3173,3.08,35.85,13.66,7.33,0.5917,2.0521655522092637,False,,0.021585125258481875,13.66,0.8571428571428571,0.7333333333333333,0.6923076923076923,0.6226415094339622,0.4175824175824176,0.7305890754947358,0.8,0.5,0.6200000000000001,0.6666666666666671,0.75,0.68,0.72375,1.0,1.0,0.7279418066210519,4.0,0.04916700103672469
002850,002850.XSHE,energy_storage,801737,科达利,26.6896,3.502,437.6802,3.5818,3.33,25.81,23.65,10.42,1.518,1.2022389724441636,False,,0.037467777711168396,23.65,0.8791208791208791,0.5555555555555556,0.5384615384615384,0.9245283018867925,0.8021978021978022,0.7256310426121746,0.8,0.5,0.6200000000000001,0.6666666666666671,0.75,0.68,0.72375,1.0,1.0,0.724223281959131,5.0,0.04891584262784527
